"from","to","hiking_time_to","hiking_time_back"
459,470,255748,256227
459,471,255651,256167
459,482,241166,242000
460,471,258947,260162
460,472,258973,259935
460,483,251961,253479
461,472,259220,258939
461,473,257101,257419
461,484,258423,259280
462,473,261292,260082
462,474,255975,256422
462,485,247063,247013
463,474,257758,258685
463,475,258967,260012
463,486,245104,246368
464,475,258154,258671
464,476,255613,256300
465,477,291109,293532
465,487,243601,248446
466,477,287196,288068
466,478,267185,265741
466,488,264648,267780
467,478,265140,260005
467,479,258268,258800
467,489,248628,247961
468,479,256694,257211
468,480,257452,255001
468,490,245806,243669
469,480,257158,256788
469,481,262516,262722
469,491,252057,250145
470,481,260484,257357
470,482,255588,255905
470,492,242602,242368
471,482,255662,255949
471,483,255778,256145
471,493,241722,240500
472,483,257050,257745
472,484,266891,268410
472,494,245063,245709
473,484,259670,259722
473,485,257812,259161
473,495,253318,254056
474,485,255888,255655
474,486,254804,255002
474,496,239949,239920
475,486,255429,255522
475,497,238867,238894
477,487,278273,279559
477,488,260026,261132
478,488,291684,296018
478,489,258734,262930
478,498,285392,289619
479,489,257856,256458
479,490,258075,255465
479,499,247439,246248
480,490,257707,257709
480,491,258741,257816
480,500,258593,258131
481,491,260263,258539
481,492,259359,261643
481,501,255129,255474
482,492,256408,255313
482,493,258010,256588
482,502,240989,240245
483,493,257299,255714
483,494,256588,256366
483,503,246038,246225
484,494,259916,259388
484,495,257593,258232
484,504,248691,249210
485,495,256376,255835
485,496,255413,255592
485,505,243358,243010
486,496,255543,255595
486,497,255365,255228
488,498,264769,264226
